world_cup_year,date,stage,home_team,away_team,score_original_home,score_original_away,score_90_home,score_90_away,has_extra_time,has_penalty_shootout,score_corrected,city,country,neutral,verification_source,verification_note
2018,2018-06-25,Group stage,Russia,Uruguay,0,3,0,3,False,False,False,Samara,Russia,False,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-25,Group stage,Saudi Arabia,Egypt,2,1,2,1,False,False,False,Volgograd,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-25,Group stage,Spain,Morocco,2,2,2,2,False,False,False,Kaliningrad,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-26,Group stage,Australia,Peru,0,2,0,2,False,False,False,Sochi,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-26,Group stage,Denmark,France,0,0,0,0,False,False,False,Moscow,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-26,Group stage,Iceland,Croatia,1,2,1,2,False,False,False,Rostov-on-Don,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-26,Group stage,Nigeria,Argentina,1,2,1,2,False,False,False,Saint Petersburg,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-27,Group stage,Mexico,Sweden,0,3,0,3,False,False,False,Ekaterinburg,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-27,Group stage,Serbia,Brazil,0,2,0,2,False,False,False,Moscow,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-27,Group stage,South Korea,Germany,2,0,2,0,False,False,False,Kazan,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-27,Group stage,Switzerland,Costa Rica,2,2,2,2,False,False,False,Nizhny Novgorod,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
